id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
171631,De Baarsjes - Oud-West,Entire home/apt,305,4.48863637,1.098612289,3.80666249,-0.755022584
175989,De Baarsjes - Oud-West,Entire home/apt,0,4.605170186,1.386294361,4.605170186,0.076961041
179528,De Pijp - Rivierenbuurt,Entire home/apt,217,5.438079309,3.36729583,3.258096538,-1.272965676
182839,Oud-Noord,Entire home/apt,0,4.828313737,3.401197382,2.708050201,-1.771956842
184282,Centrum-Oost,Entire home/apt,285,5.438079309,1.098612289,5.147494477,0.636576829
188347,De Baarsjes - Oud-West,Private room,0,3.912023005,0,5.81711116,1.2753628
189754,Centrum-West,Private room,213,5.075173815,0.693147181,4.990432587,0.457424847
190585,Westerpark,Entire home/apt,14,4.700480366,0.693147181,4.49980967,-0.020202707
190943,Zuid,Entire home/apt,0,5.010635294,1.386294361,2.197224577,-2.207274913
198307,Centrum-West,Entire home/apt,0,4.605170186,2.564949357,3.610917913,-0.916290732
199844,Westerpark,Entire home/apt,126,4.59511985,1.386294361,3.737669618,-0.798507696
200461,De Baarsjes - Oud-West,Entire home/apt,28,4.369447852,1.098612289,3.583518938,-0.967584026
203658,Zuid,Entire home/apt,0,5.648974238,1.098612289,3.17805383,-1.30933332
204014,De Baarsjes - Oud-West,Entire home/apt,0,4.59511985,1.386294361,2.708050201,-1.832581464
205759,De Baarsjes - Oud-West,Entire home/apt,0,4.59511985,0,0.693147181,-3.218875825
212050,De Baarsjes - Oud-West,Entire home/apt,152,5.192956851,1.098612289,2.63905733,-1.897119985
213721,Zuid,Entire home/apt,8,5.003946306,0.693147181,3.663561646,-0.867500568
214531,Centrum-West,Private room,206,4.736198448,1.098612289,5.043425117,0.530628251
217692,De Pijp - Rivierenbuurt,Entire home/apt,329,5.010635294,1.098612289,2.708050201,-1.30933332
219276,Centrum-West,Private room,287,5.579729826,0.693147181,0.693147181,-3.912023005
221943,De Baarsjes - Oud-West,Entire home/apt,244,5.135798437,1.098612289,5.272999559,0.751416089
222516,De Baarsjes - Oud-West,Entire home/apt,7,4.605170186,1.098612289,4.744932128,0.223143551
226121,De Baarsjes - Oud-West,Private room,15,5.105945474,1.386294361,4.465908119,-0.061875404
230710,Centrum-West,Entire home/apt,0,4.828313737,2.63905733,2.772588722,-1.660731207
236180,Centrum-West,Entire home/apt,0,5.164785974,1.098612289,0.693147181,-3.218875825
236632,De Pijp - Rivierenbuurt,Entire home/apt,93,4.718498871,1.791759469,4.779123493,0.277631737
237017,De Baarsjes - Oud-West,Entire home/apt,125,4.382026635,1.098612289,2.833213344,-1.514127733
245927,Centrum-West,Entire home/apt,49,5.991464547,0.693147181,4.204692619,-0.248461359
247805,De Baarsjes - Oud-West,Private room,210,4.779123493,0.693147181,5.736572297,1.226712291
250702,De Pijp - Rivierenbuurt,Entire home/apt,0,4.787491743,1.098612289,3.610917913,-0.891598119
250751,Oostelijk Havengebied - Indische Buurt,Entire home/apt,0,4.248495242,0.693147181,4.941642423,0.438254931
252080,Centrum-Oost,Entire home/apt,149,5.953243334,1.098612289,2.079441542,-2.407945609
253650,Centrum-West,Private room,0,5.003946306,1.098612289,5.948034989,1.456286733
253792,Centrum-West,Entire home/apt,6,5.262690189,0.693147181,4.369447852,-0.127833372
254104,Centrum-Oost,Private room,268,4.976733742,0.693147181,4.234106505,0.350656872
254800,Centrum-West,Entire home/apt,0,5.521460918,0.693147181,3.828641396,-0.46203546
255177,De Pijp - Rivierenbuurt,Private room,150,4.828313737,1.386294361,4.634728988,1.160020917
255202,Centrum-West,Private room,337,5.236441963,1.098612289,0.693147181,-3.912023005
255809,De Pijp - Rivierenbuurt,Private room,235,5.010635294,0.693147181,4.094344562,-0.356674944
256670,De Baarsjes - Oud-West,Entire home/apt,10,5.123963979,1.609437912,1.791759469,-2.525728644
262209,Oostelijk Havengebied - Indische Buurt,Entire home/apt,11,4.700480366,1.386294361,2.63905733,-1.897119985
262394,Zuid,Private room,0,4.477336814,1.098612289,4.700480366,0.254642218
265349,De Baarsjes - Oud-West,Entire home/apt,0,4.442651256,0.693147181,3.091042453,-1.427116356
271787,Centrum-West,Private room,192,4.700480366,1.098612289,3.36729583,-1.078809661
272597,Zuid,Entire home/apt,0,4.787491743,1.609437912,1.791759469,-2.040220829
274688,Bos en Lommer,Entire home/apt,14,4.828313737,1.386294361,3.713572067,-0.776528789
276275,De Pijp - Rivierenbuurt,Entire home/apt,360,5.129898715,1.386294361,3.091042453,-1.30933332
277011,De Baarsjes - Oud-West,Entire home/apt,0,4.828313737,1.386294361,2.995732274,-1.427116356
